,группа ,подгруппа,наименование,артикул,единица измерении,норма упаковки,цена,фото
1,профиль,профиль ПВХ,"Переходник к трубе 58мм (6,5 м)",pr,м,"6,5/1300",100,
2,профиль,профиль ПВХ,Соединитель импоста для 58мм (100шт в коробке),pr,м,"6,5/3900",100,
3,профиль,профиль ПВХ,"Труба 58мм (6,5м)",pr,м,"6,5/65",100,
4,профиль,профиль ПВХ,"Угловой соединитель 90град. 58мм (6,5м)",pr,м,"6,5/3900",100,
5,профиль,профиль ПВХ,Переходник к трубе 70мм,pr,м,"6,5/3901",100,
6,профиль,профиль ПВХ,Труба 70мм,pr,м,"6,5/3902",100,
7,Комплектующие,армирование,"203 Метал для импоста (20*30*20*30) 1,1мм (6м)","203_1,1",м,6/120/600,100,
8,Комплектующие,армирование,"203 Метал для импоста (20*30*20*30) 1,5мм  (6м)","203_1,5",м,6/120/600,100,
9,Комплектующие,армирование,"207 Метал для рамы   (23*31,5*25 ) (6м) 1,0мм","207_1,0",м,6/120/1200,100,
10,Комплектующие,армирование,"207 Метал для рамы   (23*31,5*25) (6м) 1,2мм","207_1,2",м,6/120/1200,100,
11,Комплектующие,армирование,"207 Метал для рамы   (23*31,5*25) (6м) 1,5мм","207_1,5",м,6/120/1200,100,
12,Комплектующие,армирование,"604 Метал для импоста (20*38*20*38)  (6м) 1,5мм для импоста Funke",604,м,6/120/600,100,
13,Комплектующие,армирование,604 Метал для импоста (20*38*20*38)  (6м) 2мм для импоста Funke,604,м,6/120/600,100,
14,Комплектующие,армирование,"Профиль армирующий  (23*28*23) (6м) 1,2",23*28*23,м,6/120/601,100,
15,Комплектующие,армирование,Профиль армирующий  (28*21*28) (6м) 1.2мм,28*21*28,м,6/120/602,100,
16,Комплектующие,Ручки оконные,"Ручка - ракушка Premium (белая, алюминь)",ART01,шт,1/240,100,
17,Комплектующие,Ручки оконные,"Ручка ассимитричная (двух-няя, коричневая) BHS-1,",ART02,шт,1/30/120,100,
18,Комплектующие,Ручки оконные,"Ручка ассимитричная с ключом (двух-няя, белая) BHS 2",ART03,шт,1/30/121,100,
19,Комплектующие,Ручки оконные,Ручка балконная алюм.(ракушка) (белая),ART04,шт,1/30/122,100,
20,Комплектующие,крепеж,Анкерная пластина KBE58 L-190мм (уп.200шт) АП 58,ART44,шт,1/10/100,100,
21,Комплектующие,крепеж,"Шуруп по бетону  7,5*92",ART58,шт,1/10/100,100,
22,Комплектующие,крепеж,"Шуруп по бетону 7,5*132",ART59,шт,1/10/100,100,
23,Комплектующие,крепеж,"Шуруп по бетону 7,5*152",ART60,шт,1/10/100,100,
24,Комплектующие,крепеж,"Шуруп по бетону 7,5*182",ART61,шт,1/10/100,100,
25,Комплектующие,крепеж,"Шуруп по бетону 7,5*202",ART62,шт,1/10/100,100,
26,Комплектующие,крепеж,"Шуруп с буром WS 3,9х16 (20000шт)",ART63,шт,1/10/100,100,
27,Комплектующие,крепеж,"Шуруп с буром WS 3,9х19 (18000шт)",ART64,шт,1/10/100,100,
28,Комплектующие,крепеж,"Шуруп с буром WS 3,9х25 (15000шт)",ART65,шт,1/10/100,100,
29,Комплектующие,крепеж,"Шуруп с буром WS 3,9х32 (11000шт)",ART66,шт,1/10/100,100,
30,Комплектующие,крепеж,Шуруп-саморез WS 4.1x25мм (13000шт),ART67,шт,1/10/100,100,
31,Комплектующие,крепеж,Шуруп-саморез WS 4.1x40мм (7000шт),ART68,шт,1/10/100,100,
32,Комплектующие,разное,Балконная защелка 13мм ось,ART45,шт,1/10/100,100,
33,Комплектующие,разное,Балконная защелка 9мм ось,ART46,шт,1/10/100,100,
34,Комплектующие,разное,Гребешок для проветривания Металлический,ART47,шт,1/10/100,100,
35,Комплектующие,разное,Дренаж Водослив Белый,ART56,шт,1/10/100,100,
36,Комплектующие,разное,Клин большой монтажный ДШВ 143*43*22,ART57,шт,1/10/100,100,
37,Комплектующие,разное,Навес 100мм Fores,ART71,шт,1/10/100,100,
38,Комплектующие,разное,Навес 95 мм Celikas,ART72,шт,1/10/100,100,
39,Комплектующие,разное,Навес 95мм альюминь Белый VHS,ART73,шт,1/10/100,100,
40,Комплектующие,разное,Накладки на накладной прижим белый 220110 REZE,ART74,шт,1/10/100,100,
41,Комплектующие,разное,Накладки на накладной прижим коричневый 220110 REZE,ART75,шт,1/10/100,100,
42,Комплектующие,разное,Накладной прижим REZE без накладок (100шт) 221104,ART76,шт,1/10/100,100,
43,Комплектующие,разное,Ограничитель открывания (гребенка) ПВХ,ART77,шт,1/10/100,100,
44,Комплектующие,разное,Подкладка под с/п 32*3,ART78,шт,1/10/100,100,
45,Комплектующие,разное,Подкладка под с/п 32*5,ART79,шт,1/10/100,100,
46,Комплектующие,разное,Станок импостовый,ART80,шт,1/10/100,100,
47,Комплектующие,разное,Такозы 28 мм рег,ART81,шт,1/10/100,100,
48,Комплектующие,разное,Такозы 32 мм рег,ART82,шт,1/10/100,100,
49,Комплектующие,разное,Термометр - гигрометр оконный электронный TRG-01 белый,ART83,шт,1/10/100,100,
50,Комплектующие,разное,"Фиксатор двери ""козья ножка "" (белый)",ART84,шт,1/10/100,100,
51,Комплектующие,разное,"Фиксатор двери ""козья ножка "" (бронза)",ART85,шт,1/10/100,100,
52,Комплектующие,разное,"Фиксатор двери ""козья ножка "" (хром)",ART86,шт,1/10/100,100,
53,Комплектующие,разное,Шпингалет  250мм T&T,ART24,шт,1/10/100,100,
54,Комплектующие,разное,Шпингалет  400 (привод),ART25,шт,1/10/100,100,
55,Комплектующие,разное,Шпингалет  600мм T&T,ART26,шт,1/10/100,100,
56,Комплектующие,разное,Шпингалет  800мм T&T,ART27,шт,1/10/100,100,
